City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Hanzhong,CN,72.16,moderate rain,33.0728,107.0303,Guorui Hotel
575,Bafq,IR,90.1,clear sky,31.6128,55.4107,Alamdar Hotel
578,Santa Marta,CO,84.25,few clouds,11.2408,-74.199,Casa de Isabella
579,Dongying,CN,88.43,light rain,37.4564,118.4856,Wanda Realm
584,La Ronge,CA,79.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
587,Samarai,PG,81.72,scattered clouds,-10.6167,150.6667,Nuli Sapi
590,Dwarka,IN,85.26,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
591,Cukai,MY,84.15,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
593,Omboue,GA,75.99,overcast clouds,-1.5746,9.2618,Hotel Olako
594,Mongo,TD,84.18,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
600,Salinopolis,BR,78.21,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
603,Ise,JP,72.72,overcast clouds,34.4833,136.7,Ise Fresh
604,Maningrida,AU,85.57,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
607,Korla,CN,70.93,overcast clouds,41.7597,86.1469,Gulisitan Hotel
609,Kutum,SD,81.07,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
611,Karratha,AU,74.93,clear sky,-20.7377,116.8463,ibis Styles Karratha
614,Clearwater,US,83.91,overcast clouds,27.9659,-82.8001,Shephard's Beach Resort
615,Vanimo,PG,86.09,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
